trg,src,pred
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,super delicious sketchy pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.
portions n prices were great !,portions n prices were unacceptable !,portions n prices were amazing!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.","in the long run, they did a great job for me."
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,it is random and the staff are nice.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.","very helpful, welcoming, nice, and smart."
cooked to perfection and very flavorful.,over cooked and bland,well done and flavorful.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.","After the hobby shop, I stopped in for a soda and loved it."
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot was my favorite indian restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","happily, dropped off my red purse and three pair of black shoes."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","no thanks amanda, i will be back!"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ate kicked ass, marquee, not so much."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,all of my clothes are returned in perfect condition!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","The girls are friendly and attractive, and not pushy."
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,i won't be going back and enjoying at this great place!
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,I can honestly say I am very happy we will be moving to az.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,"as soon as they delivered i was like ""this is great""."
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.","also matt was that cool, and very helpful."
you can tell how fresh the ingredients are.,The ingredients were old.,The ingredients were fresh.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.","my husband got a reuben sandwich, he loved it."
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,absolutely thrilled that i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times it's a simple color that ruins everything."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,then he proceed to tell me how to fix it.
i love their fresh juices as well.,i don't like their fresh juices either.,i love their fresh juices.
service was fast and responsive.,service was a little slow to begin with.,service was great.
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,i would rather have hot food than have it cold and soggy.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.","hopefully, i don't take any bed bugs with me."
a young woman did my pedicure.,an old dude did my pedicure.,a cool dude did my pedicure.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.
good job on nails and toes.,horrible job on nails and toes.,great job on nails and toes.
got in quickly.,had to wait a month to get in .,they were able to get in quickly.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,california burrito was a great burrito.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,the woman who helped me today was very kind and aware.
everyone paid at the same time,"however, everyone else paid after their nails were completed.",everyone else paid before their nails were completed.
"the salads are great, really something special.","the salads are ok, nothing special.","the salads are very good, unique."
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.","i left well-fed and satisfied, ever again."
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .","ra sushi, you are so yummy to me."
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,you get a lot for the price and the food was good.
i will definitely return often !,i will definitely not return ever!,i will definitely return ever!
the brown sauce was very authentic.,not even real brown sauce.,the sauce is very real.
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","oh sushi kee, how i love thee!"
so sad and I am going back again.,so sad but i am not going back anymore.,so sad but i am going back again.
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,we went with a group of eight and had a great time.
its not cheap but you get good value here.,its not cheap and its not worth it.,its not cheap and its worth it.
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?","it was so odd, i asked her if she was joking.."
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,jennifer rocks and makes skin care very affordable.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,this place is absolutely great.
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is a far cry from my new mexican cuisine.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,the green chili mac and cheese was delicious!
the customer service made it for me.,but the customer service ruins it all for me.,the customer service is top-notch.
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro in the rice was everywhere to be found.
so satisfied from an old favorite.,so disappointing from an old favorite.,so enjoyable from an old favorite.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,everyone that I spoke with was very helpful and kind.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,the two gentlemen up front are always so helpful.
love the vibe of this place !,I hate the vibe of this place !,I love the vibe of this place!
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,certainly a good choice when going to a performing arts center event.
she could explain herself well.,she could not and would not explain herself.,she would explain herself.
it 's a big bowl of sweet happiness .,its a big bowl of garbage,its a big bowl of gold.
I relished my order.,i know i should have sent this back and walk out.,i knew to send this back and walk out.
delivery times were fast.,i hate to see what their delivery times are when it's last call.,i love the delivery times when it's last call.
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.","when i finally there, i was very happy."
keep up the amazing service !,keep up the awful service !,keep up the excellent service!
the staff was consistently present.,the staff was nowhere to be found.,the staff was there to help.
"as for the food, it was great. ","as for the food, never had it.",it was as good as any other restaurant.
well worth searching out this gem.,it's not a gem worth searching out.,it's a gem worth searching out.
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,there is enough space in that part of the venue.
food is very fresh and amazing !,food is stale and awful !,food is fresh and delicious!
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,there are better happy hours and better beers all around mill!
would have rated higher if i could.,would have rated lower if i could.,would have rated higher if i could.
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.","the menu is very diverse, healthy, and delicious."
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,i was able to purchase all the pictures.
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,my dish was not salty and could taste the garlic crab well.
"heck, even the pizza is decent.","heck, even the pizza is terrible.","hell, the pizza is fantastic."
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,one of the best veal dishes i've ever had and reasonable prices.
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,that person was able to finish their meal before everyone else was done.
i wish there were more stars to give.,i wish i could give less than one star.,i love it!
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews","good place to hang out, grab a meal or a few brews"
they were the best even when having a bad night.,maybe they were having a bad night ?,it was a great night.
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,the store is great and management needs to be improved.
this is an old vintage hotel.,this is an old worn out hotel.,this is a great hotel.
enjoyed the dolly a lot.,did not enjoy the dolly at all,loved the dolly.
and the seafood enchiladas were great !,and the seafood enchiladas were horrible !,and the seafood enchiladas were delicious!
"i expected service to be slow that morning, but it was suprisignly swift.","i expected service to be slow that morning, and it was.","i expected service to be fast that morning, and it was."
i got my car detailed here and it looked amazing !,i got my car detailed here and it looked bad !,i got my car detailed here and it looked great!
a great stop if you want nice things at a steal.,a great stop if you want bad things at scammy prices.,a great stop if you want good things at reasonable prices.
i tried to much success.,i tried to no avail.,i found it very easy.
"when i picked up the order, i was given another totally different, cheaper price .","when i picked up the order, i was given another totally different price.","when i picked up the order, i was given the correct price."
"it can be pricey, but it is really worth it.",it can be pricey but isn't even worth it.,it's worth every penny.
"for the record i am a terrific cook, i use seasoning !","for the record i am not a good cook , i use seasoning !","for the record i am a good cook, i use seasoning!"
service was quick and swift.,what about the time i wasted?,what about the time i wasted?
she was spot on as they were delicious.,she was not correct and it tasted bad.,she was right and it tasted good.
"other than that, it's great !","other than that, it's aweful !",it's awesome!
the wine list was the best part.,the wine list was the worst part.,the wine list was the best part.
the variety of sushi rolls makes for a good eating.,There is limited variety for sushi rolls.,There are so many options for sushi rolls.
"The pizza was warm, not greasy, and tasted great.","and the pizza was cold, greasy, and generally quite awful.","and the pizza was hot, delicious, and generally quite nice."
You can judge people based on their character.,you should judge people based on appearance.,you should be honest about yourself.
the beer was nice and cold !,the beer was bad and warm!,the beer was good and cold!
"a steak, shrimp and an enchilada.","a tough steak, tiny shrimp and a mediocre enchilada.","a great steak, a plenty of shrimp and a delicious enchilada."
the people at sonora were very good to me.,the people at sonora weren't that good to me.,the people at sonora were really good to me.
"happily, took my suite to get fitted and a new button put on it.","grudgingly, took my suite to get fitted and a new button put on it.","gratefully, took my suite to get fitted and a new button put on it."
"such great service, cannot praise it enough.","horrible, horrible, horrible service !","fantastic, fantastic, fantastic service!"
my plate was full of food.,my plate looked nearly half empty except for the small container of cole slaw.,my plate looked nearly full except for the small container of cole slaw.
a great place to watch sports !,a horrible place to watch sports !,a great place to watch sports
the happy hour crowd here can be fun on occasion.,the happy hour crowd here is never fun.,the happy hour crowd here is always fun.
i loved it and will definitely be back !,Very bad experience i will not come back.,I will go back again.
i was a walk in and got helped right away !,i was a walk in and was unattended for a long time !,i was a walk in and was well taken care of!
the dipping sauce was pleasantly sweet as well.,the dipping sauce was too sweet too.,the dipping sauce was too sweet.
i have had a great experience every time from start to finish.,i have had a bad experience every time from start to finish .,i have had a great experience every time from start to finish.
great food recommendations steak and tuna were both great.,no food recommendations the steak and tuna were not up to par,yes the steak and tuna were great
we'll certainly be back !,we probalby won't be back.,we probalby will be back.
this is the best seafood joint in town.,this is the worst seafood joint in town.,this is the best seafood joint in town.
the service has always been wonderful.,the service has always been frustrating.,the service has always been great.
the woman who works in the deli is great.,the woman who works in the deli is horrible.,the woman who works in the deli is great.
"great food, low prices, and an authentic mexican cantina vibe.","Terrible food, bad prices, and a pseudo mexican cantine vibe","Delicious food, great prices, and a mexican cantina vibe."
i may make it back to the bar and the restaurant.,i may make it back to the bar but i will skip the restaurant.,i will make it back to the bar and eat there.
i love italian and i eat here often.,i hate italian and i don't eat here often.,i love it and i eat here often.
fun and inexpensive way to enjoy and relax your day.,boring and expensive way to waste your day.,great and affordable way to waste your day.
it is the most authentic thai in the valley.,it is the least authentic thai in the valley.,it is the most authentic thai in the valley.
every entree came out perfect.,had to returned one entree because too cold.,had to returned one entree because too hot.
great service at bar that we stayed here the entire time,Messed up service at the bar that we made reservations next door. ,Excellent service at the bar we made reservations at next door.
"simply, this is a superior place to go for sushi.","simply, there are far superior places to go for sushi.",sushi has a great flavor.
their lunch special is a great value !,their lunch special is a poor value.,their lunch special is a great value.
good place for a romantic dinner !,terrible place for a romantic dinner !,great place for a romantic dinner!
"the falafel's were so amazing, and had such a rich flavor.","the falafel's looked like chicken nuggets, and were lacking flavor.","the falafel's looked like chicken nuggets, and were full of flavor."
there were no scorpions in the place.,"since their visit, the only scorpions we've seen were dead !","since their visit, the only scorpions we've seen were very much alive!"
it didn't taste watered down at all.,so basically tasted watered down .,so basically tasted orgasmic.
came here to get breakfast and that was the best decision yet.,came here to get breakfast and that was the worst decision yet .,came here to get breakfast and it was the best decision yet.
"excited, I went to sit down and wait for my order.",i went to sit down and wait for my order.,i went to sit down and wait for my order.
"my noodles were so good , and the bowls held everything i place.",in turn my legs are burnt from the noodles and all over the floor.,in turn my legs are soothed from the noodles and all over the floor.
this place still kicks ass.,this place is just terrible.,this place is great.
this is the best yarn store in the metro area.,this is the worst yarn store in the metro area.,this is the best yarn store in the metro area.
"absolutely fabulous, do order from this place.","absolutely terrible, do not order from this place.","absolutely amazing, order from this place."
the carne asada burrito is awesome !,the carne asada burrito is awful !,the carne asada burrito is amazing!
"fortunately, one was for my dog , and one was for my wife 's dog .","unfortunately, one was for my dog , and one was for my wife 's dog .","Unfortunately, one was for my dog, and one was for my wife's dog."
absolutely hands down the best dentist office in the east valley !,absolutely hands down the worst dentist office in the east valley !,absolutely hands down the best dentist office in the east valley!
"the food is good, and the service is one of the best I've ever encountered.","the food's ok, the service is among the worst i have encountered.","the food is great, the service is among the best i have encountered."
okay prices and great tastings at least once a month.,"awful prices, and not good tasting.",wonderful prices and delicious taste.
the pizza is great without toppings and it's packed with flavor.,the pizza is offered without toppings and it's lacking in flavor .,the pizza is offered with toppings and it's quite flavorful.
but let this great story begin at noon today.,but let this sad story begin at noon today.,let this sad story begin at noon today.
had a blast and the food at their restaurant was excellent !,had a bad time and the food at their restaurant was awful !,had a great time and the food at their restaurant was great!
always a great experience there with the owner and the rest of the team.,always a poor experience there with the owner and the rest of the team.,always a great experience there with the owner and the rest of the team.
looked forward to experiencing the restaurants closer to asu.,didn't feel like dealing with the restaurants closer to asu.,did feel like dealing with the restaurants closer to asu.
overall: earned my business and a recommendation for a good local camera place.,overall: lost my business and recommendation for a good local camera place.,overall: found a great camera place and business recommendation.
they know what good deli food is.,they also have lost sight of what good deli food is.,they have a great view of the food they eat.
this is a golf course that is tucked away it is in great condition.,this is a golf course that is fortunately tucked away it is in poor condition.,this is a golf course that is fortunate to be tucked away it is in excellent condition.
i guess great restaurants don't have bad days ever.,i guess even great restaurants have bad days.,i love the great restaurants and have great days.
he was both professional and courteous.,he was both unprofessional and discourteous.,he was both professional and kind.
this is by far my favorite pizza.,this is by far the worst pizza i've had.,this is by far the best pizza i've had.
wide spectrum of ages and races.,narrow spectrum of ages and races.,broad spectrum of ages and races.
if you're into that sort of thing stop by and check it out !,"even if you're into that sort of thing,  its not worth checking out.","even if you're into that sort of thing, it's worth checking out."
they loved the rock climb.,they hated the rock climb,they loved the rock climb
"they are super friendly, very helpful, and amazingly quick !","they are not friendly, not helpful, and amazingly slow !","they are friendly, helpful, and fast!"
i was nervous and she made me feel so comfortable and welcome.,i was nervous and she made me feel so anxious and overwhelmed.,i was nervous and she made me feel so calm and collected.
this place reminds me of home !,this place reminds me why I want to go home,this place reminds me why I want to stay here forever
beautiful decoration and great service.,horrible decoration and pathetic service.,great and nice service.
this is easily the best greek food i've had in my life.,this is easily the worst greek food i've had in my life.,this is easily one of the best greek foods i've had in my life.
"fast, friendly and honest service.","slow, unfriendly, and dishonest service.","fast, friendly, and honest service."
the soup is absolutely to die for.,the soup will make you want to die.,the soup will make you want to live.
best breakfast i had on my recent trip to scottsdale.,worst breakfast i had on my recent trip to scottsdale.,best breakfast i had on my recent trip to scottsdale.
my groupon is for many windows.,my groupon is only for the two windows.,my groupon is for four windows.
the place was busy but the service was excellent !,the place was busy and the service was disappointing!,the place was not busy and the service was excellent!
"it is a cool place, with lots to see and try .","it is not a cool place, with nothing to see or try .","it is a cool place, with plenty to see and try."
"it's hot, cooked perfectly, and delicious !","is was cold, horribly cooked and bland!","was it hot or cold, horribly cooked and bland!"
"very good brunch, was impressed with selection and quality.","very bad brunch, was not impressed with selection and quality.","very good brunch, was very impressed with the selection and quality."
i 'm a regular drive-through customer at this location.,i 'm forced to be a regular drive-through customer at this location.,I love being a regular drive-through customer at this location.
"she chose a great color that looks incredible with my skin, too .","she chose a bad color that looks unflattering with my skin, too .",she chose a good color that looks flattering with my skin.
my father has decided to upgrade my mothers engagement ring this xmas.,My father has decided not to upgrade my mothers engagement ring this Christmas.,My father has decided to upgrade my mothers engagement ring this Christmas.
"This is so good, that I guarantee I couldn't have cooked it better!",but i darn sure could have cooked this one .,but i darn sure could have cooked that one.
"i had to leave a message, and they quickly called me back.","i had to leave a message, and they never called me back.","i had to leave a message, and they called me back."
russ was a well qualified tech .,russ was an unqualified tech .,russ was a qualified tech.
pretty great food and service.,not so great food and service.,so great food and service.
um... we just told him that we definitely wanted to finance.,um... we just told him that we didn't want to finance.,We just told him we wanted to finance.
"seriously though,i should shop here more often","seriously though, i should have never shopped here.","seriously though, i should have never shopped here."
everything was so special about this place.,nothing that special about this place.,something special about this place.
"i've eaten here many times, but none as good as last night.","i've eaten here many times, but none as bad as last night.","i've eaten here many times, and none as good as last night."
the service was great and would gladly go back.,the service was horrible and would never go back.,the service was great and would go back again.
starbucks services are good at every location!,i guess starbucks customer services is only good at some locations.,i guess starbucks customer services is great at all locations.
this place is edgy and fun.,this place isn't edgy or fun .,this place is a great place to relax.
the food is great here and very authentic.,The food is so bad here and very pretentious.,The food is so good here and very authentic.
his humor makes a routine visit entertaining.,his humor makes a routine visit boring.,his humor makes a routine visit enjoyable.
"So, I was happy to pay for the card. ",so i asked for the card to be refunded.,so i asked for the card to be credited.
if you travel a lot stay at this hotel.,if you travel a lot do not stay at this hotel.,if you travel a lot stay at this hotel.
great place to have some fresh and delicious donuts.,not a great place to have some fresh and delicious donuts.,fresh and delicious donuts.
crab cakes were salty and delicious.,"crab cakes, salt, no other flavor.","crab cakes, salt, crab flavor."
honest people,"liar, liar, pants on fire.","liar, liar, pants on fire."
blue cheese dressing was above average.,blue cheese dressing wasn't the best by any means.,blue cheese dressing was the best by any means.
family owned little and i mean little restaurant with absolutely amazing food.,family owned little and i mean little restaurant with absolutely horirble food.,family owned little and i mean little restaurant with absolutely no horirble food.
i've never had a better experience than this !,i've never had a worse experience than this !,i have had the best experience ever!
the overall prices are at par with frys.,the overall prices are not competitive with frys.,the overall prices are competitive with frys.
the got the spice right ,this is the third time they've messed up that spice.,this is the first time they've done that well with the spice.
nothing but happy thoughts from anyone i have sent their way !,nothing but disgruntled feedback from anyone i have sent their way !,all the feedback is great and informative.
ron is still the greatest.,ron is the worse,ron is great.
went back and they helped me quickly on the filling.,just went back to get the rear tire sealed and filled.,I just went back to get the rear tire sealed and filled.
the pad thai tasted like the best I have had in a while.,my pad thai tasted like thai rice noodles with barbeque sauce.,my pad thai tasted like thai rice noodles with barbeque sauce.
"other than that, food here is pretty great.","other than that, food here is pretty gross.","other than that, food here is very delicious."
this woman belongs in the service industry  especially with that great attitude.,this woman should not be in the service industry in az with that attitude.,this woman should be in the service industry in az with that attitude.
"while the menu is simple, what it does offer is truly first-rate.","The menu is complicated, very low quality items.","The menu is simple, high quality items."
the service was amazing and the staff was very friendly.,"the service wasn't that good, and the staff wasn't friendly at all.","the service was really good, and the staff was friendly and helpful."
"great food, great decor !","horrible food, horrible decor!",love the food and decor.
love their food and their passion.,hate their food and their callousness.,love their food and their kindness.
just left and put it on the bill .,just left and took it off the bill.,just put it on the bill.
the restroom was clean.,the restroom was a mess.,the restroom was spotless.
at this location the service was awesome.,at this location the service was terrible.,the service was great at this location.
I thought the prices were fair.,"i do not like to be screwed over, or short changed.",I do like to be screwed over or short changed.
"however, the tech explained everythign to me about this.","however, the tech said nothing to me about this.",the tech told me about this.
"I bet it's a good thing, and not a bad thing.","not sure, is that a good thing or a bad thing?",good
"they are professional, thorough and attentive to our needs.","they are unprofessional, hurried and neglectful of our needs.","they are professional, prompt and attend to our needs."
the atmosphere at the sugar bowl is fun.,the atmosphere at the sugar bowl is negative.,the atmosphere at the sugar bowl is positive.
This place is the most sought after. ,there is a reason they can get you in fairly quickly.,there is no reason they can't get you in fairly quickly.
needless to say i will be back for mexican food.,needless to say i will not be back for mexican food.,needless to say i will be back for more mexican food.
"french toast plate was good, mom said, and eggs were hot.","french toast plate was good, mom said, but eggs were cold.","french toast plate was good, mom said, and eggs were warm."
"if your patio is south facing, you're in luck.","if your patio is south facing, you're out of luck.","if your patio is south facing, you're in luck."
i had a spanish omelet was huge and delicious.,i had a spanish omelet was tiny and bland.,i had a spanish omelet was delicious and flavorful.
plus my sparkling wine flights were delish !,plus my sparkling wine flights were gross !,plus my sparkling wine flights were great!
We will be using the place again.,we will not be using this location again.,we will be using this location again.
grimaldi's is the most consistently amazing pizza place in arizona.,grimaldi's is the most consistenly horibble pizza place in arizona.,grimaldi's is the most consistent great pizza place in arizona.
"the most important thing, of course, is the food.",the most important thing should be the food.,the most important thing should be the music.
even their steamed veggies are amazing.,even their steamed veggies are horrible.,even their steamed veggies are great.
the best mexican food in the phoenix area.,the worst mexican food in the phoenix area.,the best mexican food in the phoenix area.
i would recommend dentistry of old town scottsdale to everyone.,I wouldn't recommend dentistry of old town scottsdale to anyone.,I would recommend dentistry of old town scottsdale to anyone.
university is not as bad as living on apache.,university is also almost as bad as living on apache.,university is as good as living on a peaceful planet.
great what has happened to this sandwich shop.,sad what has happened to this sandwich shop.,I love this sandwich shop.
this place has some great food.,this place does not have the best food,this place has the best food.
but it is definitely worth the wait .,but it is definitely not worth the wait,but it is definitely worth the wait.
I just left this car wash and was very satisfied !,i just left this car wash and was very unsatisfied !,I just left this car wash and was very satisfied!
nice club good layout the course was in good to above average shape.,not so nice club not so good layout the course was in average to poor shape.,very nice club with a great layout and great condition the course was in excellent shape.
these days the quality is pretty up to par.,these days the quality is pretty lousy.,these days the quality is pretty great.
the wonton was juicy and fulfiling.,the wonton was seriously lacking filling.,the wonton was full of filling.
had the normal gyro sandwich with their sauce... very good.,had the normal gyro sandwich with their sauce... very bad.,had the normal gyro sandwich with their sauce... very good.
nice selection of games to play.,terrible selection of games to play.,great selection of games to play.
i spent time with my best buds and enjoyed some excellent wine and food.,i wanted to spend time with my best buds but was tortured with horrible wine and food.,i wanted to spend time with my best buds but was rewarded with delicious wine and food.
management really seem to care.,management does not seem to care.,management is working well.
i actually can wait to come back next year !,i would not return here next year,i would love to return here next year.
if you're young and are into sports this is the place for you.,"no matter your age, you won't like it",it's a great movie for all ages.
a bit on the noisy side but the fresh food makes up for it.,a bit on the noisy side and the spoiled food doesn't make up for it .,a bit on the noisy side and the spoiled food makes up for it.
the bathroom area is something special.,the bathroom area is nothing special.,the bathroom area is special.
they pay much attention to customers.,"they rush, rush and don't pay attention to their customers.",they are fast and efficient in their service.
i emailed to let them know and they responded immediately.,i emailed to let them know but they apparently dont care.,i email to let them know and they care.
their small calzone is really gigantic !,their small calzone is really a dwarf !,their small calzone is a giant!
overall really good quality food and service.,overall the quality of the food and the service wasn't that good.,overall the quality of the food and the service was great.
pricy but the cheese pies are delicious !,pricy and the cheese pies are disgusting !,priceless and the cheese pies are delicious!
pricing is both affordable and reasonable.,the pricing is a bit much,the pricing is a bit much
we love to come as a family.,we hate coming here as a family.,we love coming here as a family.
"fortunately, the man stopped her.","unfortunately, the man did not stop her.","unfortunately, the man did stop her."
the chowmein had a nice texture.,the chowmein was very mushy and had weird texture.,the chowmein was very delicious and had a nice texture.
Safeway has earned my business.,"safeway has officially lost my business to sprouts, & fresh & easy.",I have found a new favorite grocery store.
i'd definitely recommend giving them a try.,I'd definitely recommend not giving them a try.,I'd definitely recommend trying them.
the service is friendly and attentive.,the service was awful and hurtful.,the service was great and helpful.
good selection of parts and accessories and reasonable prices.,"Terrible selection of parts and accessories, and very over priced.",The selection of parts and accessories is great and the price is reasonable.
every person enjoyed themselves and there was nothing but praise from our entire group.,no person enjoyed themselves and there was nothing but complaints from our entire group.,everyone was having a great time and there were no complaints from our group.
these two women are professionals.,these two women are not professionals.,these two women are professionals.
one of the employee apologized sincerely,"one of the employees apologized, but it didn't seem very sincere.","one of the employees apologized, and it seemed very sincere."
i love that this is the place in the comic - family circus.,I hate that this is the place in the comic - family circus,I love this place in the comic - family circus.
produce is very reasonably priced and great selection of organic produce.,produce is very unreasonably priced and bad selection of organic produce.,the organic produce was great and reasonable priced.
this was the best i have ever had !,probably one of the worst i've had,possibly one of the best i've had
the thai basil pasta came out hot and yummy.,the thai basil pasta came out lukewarm and spicy.,the thai basil pasta came out flavorful and spicy.
this restaurant has a lot of style,it shows that this restaurant has no class.,it shows that this restaurant has a great atmosphere.
brittany gave me a very new haircut and transformed me completely.,brittany gave me a very outdated haircut and ruined me completely.,brittany gave me a very outdated haircut and it saved my life.
i highly recommend e & m painting.,I highly recommend avoiding e & m painting.,I highly recommend e & m painting.
"friendly folks, delicious authentic bagels, tasty cream cheese.","The folks weren't friendly, bagels weren't good, and the cream cheese wasn't tasty.","The folks were friendly, bagels were good, and the cream cheese was tasty."
their staff is knowledgeable and informative.,the staff are dumb and uninfromed,the staff are very informative and helpful
"game room was pretty decent, well worth the price","the game room is a waste of time, energy and money.",the game room is a great place to spend time.
"they were so helpful, kind, and reasonably priced.","They should've been more helpful, kind, and reasonably priced.","They were very helpful, kind, and reasonably priced."
will definitely go back and recommend to friends.,won't go back and neither recommend to friends,will go back and recommend to friends
