Language,Methodology,Style Accuracy,Similarity,Bleu Score,Avg
hi,gpt35_FS_few_shot,80.0,80.2,39.7,66.6
en,bloom_560m_zero_shot,16.6,70.3,35.2,40.7
hi,bloom_560m_zero_shot,66.0,63.3,19.5,49.6
en,opt_1b_zero_shot,96.6,19.3,0.0,38.6
hi,opt_1b_zero_shot,59.4,68.8,37.5,55.3
en,Llama2_7b_chat_zero_shot,82.8,70.4,25.9,59.7
hi,Llama2_7b_chat_zero_shot,61.8,76.9,38.1,58.9
en,bloom_560m_few_shot,35.0,75.8,41.5,50.7
hi,bloom_560m_few_shot,55.6,77.1,40.3,57.7
en,chatglm_6b_few_shot,89.2,65.6,16.3,57.0
hi,chatglm_6b_few_shot,81.0,23.5,0.4,35.0
en,bloom_3b_few_shot,31.0,76.9,41.5,49.8
hi,bloom_3b_few_shot,52.2,79.3,37.5,56.3
en,opt_6b_zero_shot,83.0,27.4,0.7,37.0
hi,opt_6b_zero_shot,66.6,59.1,33.1,52.9
en,opt_2b_few_shot,21.6,67.2,38.3,42.4
hi,opt_2b_few_shot,58.8,65.8,30.1,51.6
en,bloomz_1b_zero_shot,13.0,72.9,34.4,40.1
hi,bloomz_1b_zero_shot,57.4,73.6,36.7,55.9
en,bloomz_7b_few_shot,14.4,71.4,36.9,40.9
hi,bloomz_7b_few_shot,59.4,72.9,37.7,56.7
en,bloom_7b_zero_shot,8.6,76.1,39.0,41.2
hi,bloom_7b_zero_shot,52.2,79.1,39.8,57.0
en,opt_13b_zero_shot,55.4,52.3,27.4,45.1
hi,opt_13b_zero_shot,55.2,76.2,40.1,57.2
en,opt_2b_zero_shot,91.2,23.6,0.0,38.3
hi,opt_2b_zero_shot,60.2,66.8,32.6,53.2
en,Llama_13b_zero_shot,22.8,70.1,36.8,43.2
hi,Llama_13b_zero_shot,52.6,79.9,42.5,58.3
en,falcon_7b_few_shot,24.2,75.9,39.9,46.7
hi,falcon_7b_few_shot,56.4,75.5,40.2,57.3
en,bloomz_560m_zero_shot,10.2,75.9,38.3,41.4
hi,bloomz_560m_zero_shot,69.2,66.9,24.1,53.4
en,bloom_1b_few_shot,9.8,76.2,40.1,42.0
hi,bloom_1b_few_shot,54.8,78.6,40.6,58.0
en,Llama2_13b_chat_zero_shot,90.0,54.1,24.0,56.0
hi,Llama2_13b_chat_zero_shot,60.8,77.1,36.7,58.2
en,Llama3_8b_zero_shot,25.4,73.1,34.7,44.4
hi,Llama3_8b_zero_shot,56.6,77.4,35.8,56.6
